campany,location,duration
Eram Talent -,"Riyadh, Saudi Arabia ",Full Time
KHOUBOURAT -,"Riyadh, Saudi Arabia ",Full Time
AL-AYUNI -,"Riyadh, Saudi Arabia ",Full Time
AMERICAN UNITED SCHOOL -,"Kuwait City, Kuwait ",Full Time
Envisions Employment Solutions -,"Cairo, Egypt ",Full Time
Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full Time
Paymob Solutions -,"Maadi, Cairo, Egypt ",Full Time
Ultimate Solutions Egypt -,"6th of October, Giza, Egypt ",Full Time
Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Right learning -,"Cairo, Egypt ",Full TimePart TimeWork From Home
Black & Grey HR -,"Abu Dhabi, United Arab Emirates ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Talents Arena -,"6th of October, Giza, Egypt ",Internship
Confidential -,"Cairo, Egypt ",Full Time
SSC Egypt -,"New Cairo, Cairo, Egypt ",Full Time
Khales -,"Giza, Egypt ",Full Time
Sceel.io -,"Maadi, Cairo, Egypt ",Full Time
HITS Solutions -,"Nasr City, Cairo, Egypt ",Full Time
Our Education -,"Nasr City, Cairo, Egypt ",Full Time
Confidential -,"Sheikh Zayed, Giza, Egypt ",Full TimeWork From Home
Kick Start Interactive -,"Dokki, Giza, Egypt ",Full Time
Union Coop -,"Dokki, Giza, Egypt ",Full Time
Sequel Solutions -,"Downtown, Cairo, Egypt ",Internship
HITS Solutions -,"Nasr City, Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full TimeWork From Home
Our Education -,"Nasr City, Cairo, Egypt ",Full Time
Max2 Digital Media -,"Heliopolis, Cairo, Egypt ",Full Time
PowerCom -,"New Cairo, Cairo, Egypt ",Full Time
Roeya -,"Tanta, Gharbia, Egypt ",Full Time
Youxel -,"Maadi, Cairo, Egypt ",Full Time
Ditech Egypt -,"Nasr City, Cairo, Egypt ",Part TimeFreelance / Project
Agility Ventures -,"Kuwait City, Kuwait ",Full Time
Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full Time
Techno Management -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From Home
Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Glamera -,"Nasr City, Cairo, Egypt ",Full Time
Techno Management -,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From Home
Trufla -,"Heliopolis, Cairo, Egypt ",Full Time
A1Softech -,"Maadi, Cairo, Egypt ",Full Time
Dafa -,"Haram, Giza, Egypt ",Full Time
Itechs -,"Heliopolis, Cairo, Egypt ",Full Time
Publicis Groupe -,"Riyadh, Saudi Arabia ",Full Time
Dakkaken -,"Cairo, Egypt ",Full Time
Afaqy -,"Maadi, Cairo, Egypt ",Full Time
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
3D Diagnostix -,"Maadi, Cairo, Egypt ",Full TimeWork From Home
Interactive Limited/Carma Group -,"Giza, Egypt ",Full TimeWork From Home
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Ejada  -,"Heliopolis, Cairo, Egypt ",Full Time
Elkenany Group -,"Maadi, Cairo, Egypt ",Full Time
FORALL -  -,"Cairo, Egypt ",Full Time
CoverGo Limited -,"Dubai, United Arab Emirates ",Full TimeWork From Home
Tamayouz Development and Training Company -,"Nasr City, Cairo, Egypt ",Full Time
Golden Gates  -,"Giza, Egypt ",Full TimeWork From Home
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
FORALL -  -,"Nasr City, Cairo, Egypt ",Full Time
Richemont -,"Dubai, United Arab Emirates ",Full Time
IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
Confidential -,"Mohandessin, Giza, Egypt ",Full Time
ComeX Engineering Company -,"6th of October, Giza, Egypt ",Full Time
webSTDY -,"Mohandessin, Giza, Egypt ",Full Time
Van Cleef & Arpels -,"Dubai, United Arab Emirates ",Full Time
Syndica -,"Dubai, United Arab Emirates ",Full Time
Dautom -,"Dubai, United Arab Emirates ",Full Time
Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Interact Technology Solutions -,"Maadi, Cairo, Egypt ",Full Time
Shebak -,"Smart Village, Giza, Egypt ",Full Time
Sequel Solutions -,"Downtown, Cairo, Egypt ",Internship
Confidential -,"New Heliopolis, Cairo, Egypt ",Full TimeWork From Home
Be Group -,"Cairo, Egypt ",Full Time
DUBAI HOLDING -,"Dubai, United Arab Emirates ",Full Time
Ghobash Group -,"Dubai, United Arab Emirates ",Full Time
Giesecke & Devrient GmbH -,"Dubai, United Arab Emirates ",Full Time
Binance Services Holdings Limited -,"Dubai, United Arab Emirates ",Full Time
CoverGo Limited -,"Dubai, United Arab Emirates ",Full TimeWork From Home
KPMG Fakhro -,"Dubai, United Arab Emirates ",Full Time
Caliberly -,"Dubai, United Arab Emirates ",Full Time
Etihad Aviation Group -,"Abu Dhabi, United Arab Emirates ",Full Time
Binance Labs -,"Dubai, United Arab Emirates ",Full Time
Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time
MTI -,"Heliopolis, Cairo, Egypt ",Full Time
siag group -,"New Damietta, Damietta, Egypt ",Full Time
Al Jazeera Media Network -,"Doha, Qatar ",Full Time
CRIF EGYPT -,"Heliopolis, Cairo, Egypt ",Full Time
Edu-Zone -,"Cairo, Egypt ",Full TimePart Time
Data Science -,"Hadayek October, Giza, Egypt ",Full Time
AspenTech -,"Medina, Saudi Arabia ",Full Time
Edu-Zone -,"Cairo, Egypt ",Full TimePart Time
Yespays -,"New Cairo, Cairo, Egypt ",Full Time
Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Human Quality -,"Downtown, Cairo, Egypt ",Full TimeWork From Home
Abgad -,"Zamalek, Cairo, Egypt ",Full Time
El Teriak Industrial Group -,"Giza, Egypt ",Full Time
Ditech Egypt -,"Nasr City, Cairo, Egypt ",Full Time
Basata -,"Maadi, Cairo, Egypt ",Full Time
Anspire Agency -,"Cairo, Egypt ",Full TimeWork From Home
Dautom -,"Dubai, United Arab Emirates ",Full Time
Deal -,"Cairo, Egypt ",Full TimeWork From Home
Erada -,"Maadi, Cairo, Egypt ",Full Time
Alshaya Trade -,"Dubai, United Arab Emirates ",Full Time
Youxel -,"Maadi, Cairo, Egypt ",Full Time
GAMP LTD -,"Smouha, Alexandria, Egypt ",Full Time
Move One Inc. -,"Riyadh, Saudi Arabia ",Full Time
Valify -,"Maadi, Cairo, Egypt ",Full Time
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
Informatique Education -,"Cairo, Egypt ",Full Time
Publicis Groupe -,"Dubai, United Arab Emirates ",Full Time
Dautom -,"Dubai, United Arab Emirates ",Full Time
Ayamedica -,"Nasr City, Cairo, Egypt ",Full Time
eBSEG -,"Maadi, Cairo, Egypt ",Full Time
Qatar Airways - Other locations -,"Doha, Qatar ",Full Time
UrbaCon Contracting & Trading Company -,"Doha, Qatar ",Full Time
Publicis Group -,"Dubai, United Arab Emirates ",Full Time
Publicis Group -,"Dubai, United Arab Emirates ",Full Time
Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full Time
3S Software -,"Nasr City, Cairo, Egypt ",Full Time
Publicis Groupe -,"Dubai, United Arab Emirates ",Full Time
